Ground Camera to Satellite Center Distance Analysis
============================================================

Total samples: 33569
Valid projections: 30100
Success rate: 89.67%

Distance Statistics (pixels):
  Mean: 18.19 ± 19.23
  Median: 9.84
  Min: 0.00
  Max: 98.01

Individual Results:
  Sample 478: 5.86 pixels
  Sample 479: 20.91 pixels
  Sample 480: 7.48 pixels
  Sample 481: 1.57 pixels
  Sample 482: 72.28 pixels
  Sample 483: 14.28 pixels
  Sample 484: 3.51 pixels
  Sample 485: 31.68 pixels
  Sample 486: 26.88 pixels
  Sample 487: 20.07 pixels
  Sample 488: 26.26 pixels
  Sample 489: 16.16 pixels
  Sample 490: 16.20 pixels
  Sample 491: 31.08 pixels
  Sample 492: 16.57 pixels
  Sample 493: 3.78 pixels
  Sample 494: 23.62 pixels
  Sample 495: 2.00 pixels
  Sample 496: 4.75 pixels
  Sample 497: 4.48 pixels
  Sample 498: 7.52 pixels
  Sample 499: 9.16 pixels
  Sample 500: 4.34 pixels
  Sample 501: 51.91 pixels
  Sample 502: 3.56 pixels
  Sample 503: 9.86 pixels
  Sample 504: 1.24 pixels
  Sample 505: 3.44 pixels
  Sample 506: 23.86 pixels
  Sample 507: 46.73 pixels
  Sample 508: 15.72 pixels
  Sample 509: 2.00 pixels
  Sample 510: 7.22 pixels
  Sample 511: 24.95 pixels
  Sample 512: 20.50 pixels
  Sample 513: 11.97 pixels
  Sample 514: 4.34 pixels
  Sample 515: 6.96 pixels
  Sample 516: 3.34 pixels
  Sample 517: 30.73 pixels
  Sample 518: 18.99 pixels
  Sample 519: 6.69 pixels
  Sample 520: 8.26 pixels
  Sample 521: 6.87 pixels
  Sample 522: 35.78 pixels
  Sample 523: 41.30 pixels
  Sample 524: 40.60 pixels
  Sample 525: 4.48 pixels
  Sample 526: 4.04 pixels
  Sample 527: 15.11 pixels
  Sample 528: 20.53 pixels
  Sample 529: 13.43 pixels
  Sample 530: 8.78 pixels
  Sample 531: 9.67 pixels
  Sample 532: 15.13 pixels
  Sample 533: 15.64 pixels
  Sample 534: 4.85 pixels
  Sample 535: 1.76 pixels
  Sample 536: 7.33 pixels
  Sample 537: 4.78 pixels
  Sample 538: 3.73 pixels
  Sample 539: 9.86 pixels
  Sample 540: 2.99 pixels
  Sample 541: 2.17 pixels
  Sample 542: 4.78 pixels
  Sample 543: 49.22 pixels
  Sample 544: 41.06 pixels
  Sample 545: 4.04 pixels
  Sample 546: 2.22 pixels
  Sample 547: 11.26 pixels
  Sample 548: 15.60 pixels
  Sample 549: 2.00 pixels
  Sample 550: 37.66 pixels
  Sample 551: 29.63 pixels
  Sample 552: 42.66 pixels
  Sample 553: 44.98 pixels
  Sample 554: 46.60 pixels
  Sample 555: 56.36 pixels
  Sample 556: 14.24 pixels
  Sample 557: 34.40 pixels
  Sample 558: 34.52 pixels
  Sample 559: 39.21 pixels
  Sample 560: 36.40 pixels
  Sample 561: 19.54 pixels
  Sample 562: 45.60 pixels
  Sample 563: 23.90 pixels
  Sample 564: 54.64 pixels
  Sample 565: 4.04 pixels
  Sample 566: 11.33 pixels
  Sample 567: 17.26 pixels
  Sample 568: 3.71 pixels
  Sample 569: 23.99 pixels
  Sample 570: 29.27 pixels
  Sample 571: 7.95 pixels
  Sample 572: 20.01 pixels
  Sample 573: 4.04 pixels
  Sample 574: 6.14 pixels
  Sample 575: 13.84 pixels
  Sample 576: 5.91 pixels
  Sample 577: 5.56 pixels
  Sample 578: 9.20 pixels
  Sample 579: 5.19 pixels
  Sample 580: 0.62 pixels
  Sample 581: 3.65 pixels
  Sample 582: 3.33 pixels
  Sample 583: 3.25 pixels
  Sample 584: 3.56 pixels
  Sample 585: 54.91 pixels
  Sample 586: 43.63 pixels
  Sample 587: 15.11 pixels
  Sample 588: 2.24 pixels
  Sample 589: 18.89 pixels
  Sample 590: 7.47 pixels
  Sample 591: 35.85 pixels
  Sample 592: 19.44 pixels
  Sample 593: 49.42 pixels
  Sample 594: 84.93 pixels
  Sample 595: 62.47 pixels
  Sample 596: 13.44 pixels
  Sample 597: 11.40 pixels
  Sample 598: 4.73 pixels
  Sample 599: 50.58 pixels
  Sample 600: 9.86 pixels
  Sample 601: 31.28 pixels
  Sample 602: 28.24 pixels
  Sample 603: 3.73 pixels
  Sample 604: 0.83 pixels
  Sample 605: 1.57 pixels
  Sample 606: 3.65 pixels
  Sample 607: 2.95 pixels
  Sample 608: 10.14 pixels
  Sample 609: 18.39 pixels
  Sample 610: 47.40 pixels
  Sample 611: 20.35 pixels
  Sample 612: 55.71 pixels
  Sample 613: 22.42 pixels
  Sample 614: 43.39 pixels
  Sample 615: 1.76 pixels
  Sample 616: 19.88 pixels
  Sample 617: 49.14 pixels
  Sample 618: 44.02 pixels
  Sample 619: 61.36 pixels
  Sample 620: 11.89 pixels
  Sample 621: 3.34 pixels
  Sample 622: 9.46 pixels
  Sample 623: 33.15 pixels
  Sample 624: 29.32 pixels
  Sample 625: 4.04 pixels
  Sample 626: 4.13 pixels
  Sample 627: 9.94 pixels
  Sample 628: 3.24 pixels
  Sample 629: 1.39 pixels
  Sample 630: 37.06 pixels
  Sample 631: 19.70 pixels
  Sample 632: 24.10 pixels
  Sample 633: 13.21 pixels
  Sample 634: 22.35 pixels
  Sample 635: 20.13 pixels
  Sample 636: 19.09 pixels
  Sample 637: 51.51 pixels
